id,code,name,amount,State
,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",29148.26,AL
,316210,Footwear Manufacturing,28935.02,AL
,326199,All Other Plastics Product Manufacturing,28622.5,AL
,811490,Other Personal and Household Goods Repair and Maintenance,28083.9,AL
,321213,Engineered Wood Member (except Truss) Manufacturing,27750.0,AL
,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,27713.45,AL
,339940,Office Supplies (except Paper) Manufacturing,27391.56,AL
,541870,Advertising Material Distribution Services,27290.0,AL
,313320,Fabric Coating Mills,27258.12,AL
,114119,Other Marine Fishing,27200.0,AL
,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",27028.64,AL
,333244,Printing Machinery and Equipment Manufacturing,26844.46,AL
,325320,Pesticide and Other Agricultural Chemical Manufacturing,26638.37,AL
,337124,Metal Household Furniture Manufacturing,25927.68,AL
,323117,Books Printing,25408.69,AL
,611420,Computer Training,25100.0,AL
,561622,Locksmiths,24020.0,AL
,339115,Ophthalmic Goods Manufacturing,23070.0,AL
,423210,Furniture Merchant Wholesalers,22860.0,AL
,812331,Linen Supply,22187.96,AL
,621498,All Other Outpatient Care Centers,22038.91,AL
,523910,Miscellaneous Intermediation,22000.0,AL
,813319,Other Social Advocacy Organizations,21600.0,AL
,722514,"Cafeterias, Grill Buffets, and Buffets",21597.03,AL
,324191,Petroleum Lubricating Oil and Grease Manufacturing,21551.85,AL
,321920,Wood Container and Pallet Manufacturing,21532.0,AL
,713950,Bowling Centers,20600.0,AL
,323111,Commercial Printing (except Screen and Books),19879.72,AL
,311224,Soybean and Other Oilseed Processing,19750.5,AL
,332992,Small Arms Ammunition Manufacturing,19525.6,AL
,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,19008.73,AL
,423440,Other Commercial Equipment Merchant Wholesalers,18739.82,AL
,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",18602.0,AL
,336999,All Other Transportation Equipment Manufacturing,18040.21,AL
,811113,Automotive Transmission Repair,17906.3,AL
,332811,Metal Heat Treating,17812.48,AL
,339994,"Broom, Brush, and Mop Manufacturing",17655.0,AL
,322220,Paper Bag and Coated and Treated Paper Manufacturing,17565.2,AL
,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,16199.0,AL
,713990,All Other Amusement and Recreation Industries,16000.0,AL
