State,Total Funding Received,"Agriculture, Forestry, Fishing and Hunting (State as % of US)","Mining, Quarrying, and Oil and Gas Extraction (State as % of US)",Utilities (State as % of US),Construction (State as % of US),Manufacturing (State as % of US),Wholesale Trade (State as % of US),Retail Trade (State as % of US),Transportation and Warehousing (State as % of US),Information (State as % of US),Finance and Insurance (State as % of US),Real Estate and Rental and Leasing (State as % of US),"Professional, Scientific, and Technical Services (State as % of US)",Administrative and Support and Waste Management and Remediation Services (State as % of US),Educational Services (State as % of US),Health Care and Social Assistance (State as % of US),"Arts, Entertainment, and Recreation (State as % of US)",Accommodation and Food Services (State as % of US),Other Services (except Public Administration) (State as % of US),Public Administration (not covered in economic census) (State as % of US)
Michigan,8461849.0,0.2604105810214231,0.045066835357206354,0.16037074239426344,1.0471593890862496,2.439339467043854,4.030558497899065,0.3669529257605004,0.7655874359711146,0.41002641150796854,0.010690825107828629,0.6489399816190787,0.44589935999748914,0.5901080927959199,0.17295352028198407,0.2558147551687406,2.769387045898046,0.4877855463137666,1.3720304323575012,0.743777733250444
Minnesota,3927176.0,0.6051523295214969,0.06449932399746965,0.31907411412091163,0.6648723670914947,0.8889870472416272,1.6143311518890424,2.8934418722612825,0.26454239313727923,0.658376947559741,0.05528324798902414,0.36294530897082417,0.25984667572680525,0.3077647620805497,0.10830406089416904,0.6548141072264053,0.21812932716725925,0.12224864972336204,6.910923962011993,0.47353106894715113
Missouri,17509927.0,19.32941481282037,1.5876756676300219,1.7682718561978692,3.127643334221518,4.901373488723085,0.7886012500293751,0.15833485973539232,0.7790848120132617,0.10008699143423849,3.1410221294494627,5.636608148875077,0.49114928728741913,3.1166429053332365,0.3746641579505213,1.6356178233355854,0.0395626720842578,3.0615898101048584,0.8681527592897562,0.5057277564560352
Mississippi,5793799.0,0.3573406217137516,1.7179146872402973,0.3700047090589764,0.6666322833314758,1.8350065433240863,0.007506965158107566,0.20553590802136024,3.742675151104206,0.02133167191174174,0.0013218085897358863,2.032389883224034,0.05574620639333467,0.056214546368029035,1.6159986438748855,0.05430514251216111,0.1117378171028362,1.006334763821654,0.6089967524057676,0.23017206389329883
Montana,1644962.0,4.001869510218803,0.34316948024294747,0.12702332904195912,2.58916662914639,0.03276394941455359,0.001486886818755605,0.04024417736322263,0.9613199795449376,0.05668226248901992,0.15519149864842743,0.054311987579897296,0.05827029765963968,0.03166665172956679,0.08720109354884883,0.1585553675456865,0.05239380897644952,0.43418421528121554,0.07119175743527456,0.45417880464659854
North Carolina,7115972.0,0.536366545927465,0.5379078238506924,10.655862778425638,1.355940499238646,1.1242346299046053,8.202828189285189,1.1567779296352134,0.1335838704400155,0.6944621833940112,0.012254654988642918,1.277837489810012,0.7776826368139872,0.583426104068174,2.257347227273337,1.7101300579247292,0.5570851934026572,1.56155857624655,1.8797484346023723,1.51153172315644
North Dakota,2828882.0,0.22078509268808139,0.015711373794255426,0.9202875557558646,5.546545563516415,0.023264551303990518,0.06429878852813872,0.016907838191988503,0.0064810055061263775,0.004562888431042389,0.9319029812973858,0.006126973742282869,0.03030720049166316,0.07890570276918327,0.005059522908611611,0.12026168070844113,0.0,0.13568256727537986,0.330718554722572,0.1950639737905263
Nebraska,1320735.0,0.7079753915557068,1.3462166598446228,0.15728863297836865,0.39137261841583737,0.06484972162813307,0.043874040812939774,0.015322728361489582,0.022660354438418042,0.14459031833257363,0.83285576792355,1.2591450275454201,0.25390334605945714,0.44898653289983226,0.17907251593641607,0.13547369755539546,0.017108182522922292,0.07509559911577955,0.19191051874107123,0.2527782487399621
New Hampshire,2267049.0,0.02895708762821132,0.0,0.033903203574842715,0.30725415792321215,0.6179394940873479,0.05593595681094256,0.009510658982993532,0.019633482923245436,0.3737120202724348,0.07864295683368758,0.753825464325955,0.2554918195293702,0.022694937945425736,0.25583023527646404,0.09436780037298073,0.08447165120692882,0.01665805776450208,0.32430917775109264,0.12501905256109236
New Jersey,12006936.0,0.012192457948720554,1.017104724575483,13.468717094692506,1.6616354128915731,2.1089675949067197,1.5539853063668638,1.2410529356234061,2.0777156468357507,1.250467325371621,0.12718684271729777,4.590349497120841,2.2441423869277806,0.5704270456348821,3.720565576822369,1.1045749899701611,5.149562939399609,1.9027129124800424,1.460490428575439,0.9854241485431856
New Mexico,7090707.0,1.5498646129148612,0.2989295592959651,0.31720463791782794,3.097198859186772,0.07674712153936111,0.03636707565483221,0.14415693291815196,0.183403704664234,0.046889239017373546,0.0013218085897358863,0.31746031746031744,0.6722618882928052,7.822977063837346,0.4718761878527341,0.2179292924138585,0.11654949343740811,1.1007752042123393,0.19360556058476824,0.2985043953616219
Nevada,3649990.0,1.238956935222487,0.0,0.21003817773565,0.46244740087819586,0.4395612699171731,0.45194831494380727,0.05600721401096191,1.615258068079694,0.3368786594516864,0.0035279257430274715,0.05566199874345115,0.7275634499166536,0.5540245973572375,4.5888575467541,0.19756911630598936,0.00641556844609586,0.7079002854035784,0.36549339754716853,0.29388040300662255
New York,17645416.0,0.49013680953856625,0.382447914728586,1.6179558641931644,2.0958226646580402,4.202309659283201,0.7994954158916722,3.839840502726389,1.6782818571277522,1.9458933094238877,1.3146410361154877,1.1740943242415274,2.3095882394003864,1.017946339357371,5.052690390495708,0.7334029128602606,4.865674035659868,2.3699445649392215,2.445203799648173,1.062661946769285
Ohio,12510287.0,0.5876764731283307,0.054989808279893984,1.1460394388741912,1.7255552016757907,1.6096099455018438,1.9396184691941714,1.4501993715920138,0.7318851777911229,1.3666625935417402,0.0005119681157427729,2.2924228027270224,1.5457992872339021,7.396496391669364,0.8592540187531,1.1084474489736906,0.8056884706888716,0.44150570034706527,2.4831303609008937,0.46188545857159735
Oklahoma,5342096.0,1.9281356207739162,3.061237146649136,1.853964603236518,0.9754249263556937,0.8864157107243386,0.12320126587015952,0.4046433150634748,4.46784767505896,0.28027053547484,0.23124668936981518,1.1108514935796585,0.6350187619058629,0.6046519120641207,0.6871437522892179,0.6600132944976156,0.8917640140073244,0.2535651937943361,0.8780051900062452,0.4120490965232715
Oregon,2634205.0,24.357482867056486,0.2828047282965977,0.2411624301978007,0.4235723965418361,0.40895683340239813,0.09685073019923703,0.12275795020641653,2.7961961079168236,0.0947220590987736,0.0018291224498809976,0.11838559434241476,0.13644151067884705,0.395649741722417,0.4876385476834088,0.41729572863803066,0.6634767034670802,3.7370471846203137,0.3280700518417954,0.5069265692888129
Pennsylvania,14924120.0,2.8828050781587353,13.770192216254657,2.872576501997813,1.9453048479395465,3.033042833909683,11.259381530515705,0.6977125103912756,1.6890612260950506,4.222660058813408,4.716054803487322,7.806699170781604,1.019885169077132,1.1421549424991613,0.9715581298100603,1.729611418299733,0.30527413189339464,0.567247168633952,1.4134265323840391,4.35477324455268
Rhode Island,707921.0,0.0,0.0,0.0007578957580069161,0.08207714218019624,0.10697374574036081,1.2741024353320283,0.019285502937736888,0.0009574797650035793,0.0855221437245153,0.0,0.19045542107367427,0.0736102759525613,0.023855872036777182,0.0902497804296789,0.35068149608683197,0.0,0.038555343374291104,0.06777518871907276,0.11440099604220505
